Dataset,Indicators,Description,Description Simplified,Geographic Coverage,Format,Spatial Resolution,Spatial Resolution (Standard),Temporal Resolution,Temporal Extent,Latency,Source/Link,Project,Strengths,Limitations,Data Visualization,Intended Use,Tab Name Indicator,Indicators                     (Select from drop-down list),sde_link
MLS/Aura Near-Real-Time L2 Sulfur Dioxide (SO2) Mixing Ratio V005,Health & Air Quality,"The MLS Sulfur Dioxide (SO2) Mixing Ratio layer at 147hPa (hectopascals) indicates sulfur dioxide levels at the vertical atmospheric pressure level of 147hPa, and is measured in parts per billion by volume (ppbv). The temporal resolution is twice daily (day and night).",The MLS (Aura) Sulfur Dioxide dataset indicates sulfur dioxide levels. These data may aid in air quality research.,Global,HDF-EOS5,,,1 minute - < 1 hour,2021-09-21 ongoing,NRT,https://disc.gsfc.nasa.gov/datacollection/ML2SO2_NRT_005.html,"LANCE - Land, Atmosphere Near real-time Capability for EOS, Aura - Earth Observing System (EOS), Aura",15-min temporal resolution,Only HDF-EOS5 available,Worldview,Path B,Health & Air Quality,Health & Air Quality,"https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2131772275-GES_DISC&query=%7B%22name%22:%22query-smd-primary%22,%22scope%22:%22All%22,%22text%22:%22MLS%2FAura%20Near-Real-Time%20L2%20Sulfur%20Dioxide%20(SO2)%20Mixing%20Ratio%20V005%22%7D"
MODIS/Terra+Aqua BRDF/Albedo Gap-Filled Snow-Free Daily L3 Global 30ArcSec CMG V006,Health & Air Quality,"The Daily Moderate Resolution Imaging Spectroradiometer (MODIS) (Bidirectional Reflectance Distribution Function and Albedo (BRDF/Albedo) 30 arc second, Global Gap-Filled, Snow-Free, (MCD43GF) Version 6 is derived from the 30 arc second Climate Modeling Grid (CMG) MCD43D Version 6 product suite, with additional processing to provide a gap-filled, snow-free product.",The MODIS/Aqua Land Surface Reflectance Data from Earthdata Search dataset provides surface reflectance data over water used in air quality monitoring and research.,Global,HDF-EOS2,1000 m x 1000 m,1 kilometer,Daily - < Weekly,2000-03-03 to 2017-12-31,,https://dx.doi.org/10.5067/MODIS/MCD43GF.006,"Terra - Earth Observing System (EOS), Terra, Aqua - Earth Observing System (EOS), Aqua
 ",Recent data available,,Earthdata Search viewer,Path C,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1623882456-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Maps of Subsidence in New Orleans,Urban Flooding,"Through a combination of airborne radar and ground-based GPS, a research team has developed detailed models of how much land is sinking and rising in southern Louisiana.","Through a combination of airborne radar and ground-based GPS, a research team has developed detailed models of how much land is sinking and rising in southern Louisiana.",Louisiana,PNG,,,,2009-06-01 to 2012-07-31,,https://visibleearth.nasa.gov/images/88078/scientists-improve-maps-of-subsidence-in-new-orleans?size=large,,Images for easy visualization,Not for data download,Images,Path A,Urban Flooding,Urban Flooding,"https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FNASA_Earth_Observatory%2F%7Chttps:%2F%2Fearthobservatory.nasa.gov%2Fimages%2F6623%2Fsubsidence-in-new-orleans&query=%7B%22name%22:%22query-smd-primary%22,%22scope%22:%22All%22,%22text%22:%22Maps%20of%20Subsidence%20in%20New%20Orleans%22%7D"
MuSLI Multi-Source Land Surface Phenology Yearly North America 30 m V011,Climate Change,"The Multi-Source Land Surface Phenology (LSP) Yearly North America 30 meter (m) Version 1.1 product (MSLSP) provides a Land Surface Phenology product for North America derived from Harmonized Landsat Sentinel-2 (HLS) data. Data from the combined Landsat 8 Operational Land Imager (OLI) and Sentinel-2A and 2B Multispectral Instrument (MSI) provides the user community with dates of phenophase transitions, including the timing of greenup, maturity, senescence, and dormancy at 30m spatial resolution. These data sets are useful for a wide range of applications, including ecosystem and agro-ecosystem modeling, monitoring the response of terrestrial ecosystems to climate variability and extreme events, crop-type discrimination, and land cover, land use, and land cover change mapping.","The MuSLI Multi-Source Land Surface Phenology Yearly North America 30 m V011 dataset provides land Surface Phenology (seasonal changes in plant greening, flowering, etc) for North America. These datasets are useful for a wide range of applications, including ecosystem and agro-ecosystem modeling, monitoring the response of terrestrial ecosystems to climate variability and extreme events, crop-type discrimination, and land cover, land use, and land cover change mapping.",North America,netCDF-4,30m,30 meters,,2016-01-01 to 2019-12-31,,https://doi.org/10.5067/Community/MuSLI/MSLSP30NA.011,,Semi-recent data available,Only available for North America,,Path C,Climate Change,Climate Change,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2102664483-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
NASA Flood Dashboard,"Disasters,Urban Flooding","The Flood Dashboard brings together multiple NASA soil moisture and flood products with products from the National Weather Service and USGS to give a more complete picture of potential flooding in the United States. Includes data from soil moisture maps, USGS stream gauges, and MODIS flood maps.","The Flood Dashboard brings together mutliple NASA, NWS, and USGS soil moisture and flood products to provide insight to flood potential across the globe.",Global,Interactive Visualization,Varies,Varies,Varies,Varies,1 Day,https://maps.disasters.nasa.gov/arcgis/apps/opsdashboard/index.html#/a70a27ff74f94fa9a23123b58b3ee613,,Interactive dashboard with visualizations of data from various sources,Does not display data in real-time,Interactive Mapper,Path A,Disasters,Urban Flooding,
NASA's Black Marble Night Lights Disaster Recovery in Puerto Rico Visualization,Disasters,NASA's Black Marble night lights data product from the NASA/NOAA Suomi National Polar-orbiting Partnership satellite with USGS-NASA Landsat data and Google's OpenStreetMap were combined to develop a neighborhood-scale map of energy use in communities across Puerto Rico and New Orleans as the electricity grid was slowly restored after Hurrican Maria and Hurricane Ida. They then analyzed the relationship between restoration rates in terms of days without electricity and the remoteness of communities from major cities.,NASA's Black Marble night lights data provide a neighborhood-scale map of energy use in communities in Puerto Rico and New Orleans as the electricity grid was slowly restored after Hurricane Maria and Hurricane Ida.,"Puerto Rico, New Orleans","TIFF, JPEG, MPEG",,,,Varies,,"https://svs.gsfc.nasa.gov/4658#:~:text=NASA%27s%20Black%20Marble%20night%20lights%20used%20to%20examine%20disaster%20recovery%20in%20Puerto%20Rico,-Visualizations%20by%20Kel&text=At%20night%2C%20Earth%20is%20lit,Puerto%20Rico%27s%20lights%20went%20out.",,Specific examples and visualizations given for users,Not for data download,Images,Path A,Disasters,Disasters,
NASA's Precipitation Processing System,"Urban Flooding,Climate Change","The Precipitation Processing System (PPS) evolved from the Tropical Rainfall Measuring Mission (TRMM) Science Data and Information System (TSDIS). The purpose of the PPS is to process, analyze and archive data from the Global Precipitation Measurement (GPM) mission, partner satellites and the TRMM mission. The PPS also supports TRMM by providing validation products from TRMM ground radar sites.  All GPM, TRMM and Partner public data products are available to the science community and the general public from the TRMM/GPM FTPS and HTTPS Data Archives.","The Precipitation Processing System (PPS) processes, combines, analyzes, and archives data from other past and current precipitation datasets. Data can be used to track urban flooding, overall precipitation and drought trends, and significant storm events.",Global,Varies,Varies,Varies,Varies,Varies,Varies,https://arthurhou.pps.eosdis.nasa.gov/,GPM - Global Precipitation Measurement,Several tools and datasets available,,Several Available,Path B,Climate Change,Urban Flooding,
NLDAS Noah Land Surface Model L4 Hourly 0.125 x 0.125 degree V2.0,Urban Flooding,"Runoff after storm events can impact the amount of water entering a channel or water body. Satellites cannot measure runoff directly but information that can be used to assess predicted runoff can be measured using remote sensing. These data are input, along with ground-based data, into atmosphere-land models from LDAS to estimate runoff. Data products can be visualized as a time-averaged map, an animation, seasonal maps, scatter plots, or a time series through an online interactive tool, Giovanni.","Satellites cannot measure surface runoff directly, but information that can be used to assess predicted runoff can be measured using remote sensing. These data products can be visualized many different ways and aid in natural disaster research.",North America,netCDF-3,0.125 degree,14 kilometers,Hourly - < Daily,1979-01-02 ongoing,,https://doi.org/10.5067/T4OW83T8EXDO,NLDAS - North American Land Data Assimilation System,"Includes recent data, Visualizations available in Giovanni",Giovanni requires experience,Giovanni,Path C,Urban Flooding,Urban Flooding,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2069246977-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
NLDAS Noah Land Surface Model L4 Monthly Climatology 0.125 x 0.125 degree V2.0 (NLDAS_NOAH0125_MC) at GES DISC,Extreme Heat,"This monthly climatology data set contains a series of land surface parameters simulated from the Noah land-surface model (LSM) for Phase 2 of the North American Land Data Assimilation System (NLDAS-2). The data are in 1/8th degree grid spacing. The temporal resolution is monthly, ranging from January to December. The NLDAS-2 monthly climatology data are the monthly data averaged over the thirty years (1980 - 2009) of the NLDAS-2 monthly data. The file format is WMO GRIB-1.",The NLDAS Level 4 Monthly Climatology dataset provides monthly heat and weather-related data. These data may aid in urban heat and resilience research.,United States,GRIB,0.125 degree,14 kilometers,Monthly - < Annual,1981-01-01 to 2020-12-31,,https://dx.doi.org/10.5067/QLW535AYJ498,NLDAS - North American Land Data Assimilation System,29-year temporal resolution,"Lacks recent data, Uncommon data format",,Path C,Extreme Heat,Extreme Heat,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1888969640-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Natural Resource Protection and Child Health Indicators, 2021 Release (2010 – 2021)",Human Dimensions,"The Natural Resource Protection and Child Health Indicators, 2021 Release, is produced in support of the U.S. Millennium Challenge Corporation (MCC) as selection criteria for funding eligibility. The Natural Resource Protection Indicator (NRPI) and Child Health Indicator (CHI) are based on proximity-to-target scores ranging from 0 to 100 (at target). The NRPI covers 135 countries and is calculated based on the weighted average percentage of biomes under protected status.","The Natural Resource Protection and Child Health Indicators dataset provides indicators of natural resource protection and child health that complement the governance, social, and economic indicators used by MCC (Millenium Challenge Corporation) as country selection criteria.",Global,Excel,,,,2010-01-01 to 2021-12-31,,https://doi.org/10.7927/5bbs-e174,NRMI - Natural Resource Management Index,Includes recent data,Only available in excel format,SEDAC Map widget,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2188741906-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
OMI/Aura Multi-wavelength Aerosol Optical Depth and Single Scattering Albedo L3 1 day Best Pixel in 0.25 degree x 0.25 degree V3,Health & Air Quality,"The OMI science team produces this Level-3 Aura/OMI Global Aerosol Data Products OMAEROe (0.25deg Lat/Lon grids). The OMAEROe product selects best aerosol value from the Level2G good quality data that are reported in each grid, based on the multi-wavelength algorithm that uses up to 20 wavelength bands between 331 nm and 500 nm. The selection criteria is based on the shortest optical path length (secant of solar zenith angle + secant of viewing zenith angle).","The OMI science team produces this Level-3 Aura/OMI Global Aerosol Data Products OMAEROe (0.25deg Lat/Lon grids). The OMAEROe product selects best aerosol value from the Level2G good quality data that are reported in each grid, based on the multi-wavelength algorithm that uses up to 20 wavelength bands between 331 nm and 500 nm.",Global,HDF-EOS5,0.25 degrees,30 kilometers,Daily - < Weekly,2004-10-01 ongoing,2 days,https://dx.doi.org/10.5067/Aura/OMI/DATA3004,"Aura - Earth Observing System (EOS), Aura",,,Giovanni,Path C,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1266136095-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
OMI/Aura NO2 Cloud-Screened Total and Tropospheric Column L3 Global Gridded 0.25 degree x 0.25 degree,Health & Air Quality,"OMNO2d data product is a Level-3 Gridded Product where pixel level data of good quality are binned and ""averaged"" into 0.25x0.25 degree global grids. This product contains Total Column NO2 and Total Tropospheric Column NO2, for all atmospheric conditions, and for sky conditions where cloud fraction is less than 30 percent. Nitrogen dioxide is an important chemical species in both, the stratosphere where it plays a key role in ozone chemistry, and in the troposphere where it is a precursor to ozone production. In the troposphere, it is produced in various combustion processes and in lightning and is an indicator of poor air quality.","OMNO2d data product is a Level-3 Gridded Product where pixel level data of good quality are binned and ""averaged"" into 0.25x0.25 degree global grids. This product contains Total column NO2 and Total Tropospheric Column NO2, for all atmospheric conditions, and for sky conditions where cloud fraction is less than 30 percent.",Global,HDF-EOS5,0.25 degrees,30 kilometers,Daily,2004-10-01 ongoing,,https://dx.doi.org/10.5067/Aura/OMI/DATA3007,"Aura - Earth Observing System (EOS), Aura","18-year temporal extent, Recent data available",,Giovanni,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1266136111-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
OMI/Aura Near UV Aerosol Optical Depth and Single Scattering Albedo L3 1 day 1.0 degree x 1.0 degree V3,Health & Air Quality,"The OMI science team produces this Level-3 daily global gridded product OMAERUVd (1 deg Lat/Lon grids). The OMAERUVd product is produced with all data pixels that fall in a grid box with quality filtered and then averaged, based on the pixel level OMI Level-2 Aerosol data product OMAERUV. The OMAERUV data product is based on the enhanced TOMS version-8 algorithm that essentially uses the ultraviolet radiance data. The OMAERUVd data product contains extinction and absorption optical depths at three wavelenghts (355 nm, 388 nm and 500 nm).","The OMI science team produces this Level-3 daily global gridded product OMAERUVd (1 deg Lat/Lon grids). The OMAERUVd data product contains extinction and absorption optical depths at three wavelenghts (355 nm, 388 nm and 500 nm).",Global,HDF-EOS5,1 degree,111 kilometers,Daily - < Weekly,2004-10-01 ongoing,3 days,https://dx.doi.org/10.5067/Aura/OMI/DATA3003,"Aura - Earth Observing System (EOS), Aura",,,Giovanni,Path C,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1266136096-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
OMI/Aura Nitrogen Dioxide (NO2) Total and Tropospheric Column 1-orbit L2 Swath 13x24 km V003,Health & Air Quality,"The Version 4.0 Aura Ozone Monitoring Instrument (OMI) Nitrogen Dioxide (NO2) Standard Product (OMNO2) is now available from the NASA Goddard Earth Sciences Data and Information Services Center. The major V4.0 updates include: (1) use of a new daily and OMI ﬁeld of view speciﬁc geometry dependent surface Lambertian Equivalent Reﬂectivity (GLER) product in both NO2 and cloud retrievals; (2) use of improved cloud parameters (eﬀective cloud fraction and cloud optical centroid pressure) from a new cloud algorithm (OMCDO2N) that are retrieved consistently with NO2 using a new algorithm for O2-O2 slant column data and the GLER product for terrain reﬂectivity; (3) use of a more accurate terrain pressure calculated using OMI ground pixel-averaged terrain height and monthly mean GMI terrain pressure; and (4) improved treatment over snow/ice surfaces by using the concept of scene LER and scene pressure. The details can be found in the updated OMNO2 readme document (see Documentation). The OMNO2 product contains slant column NO2 (total amount along the average optical path from the sun into the atmosphere, and then toward the satellite), the total NO2 vertical column density (VCD), the stratospheric and tropospheric VCDs, air mass factors (AMFs), scattering weights for calculation of AMFs, and other ancillary data. ","The OMNO2 product contains slant column NO2 (total amount along the average optical path from the sun into the atmosphere, and then toward the satellite), the total NO2 vertical column density (VCD), the stratospheric and tropospheric VCDs, air mass factors (AMFs), scattering weights for calculation of AMFs, and other ancillary data.",Global,HDF-EOS5,,,,2004-10-01 ongoing,NRT,https://doi.org/10.5067/Aura/OMI/DATA2017,"Aura - Earth Observing System (EOS), Aura",NRT,Only recent data included,Worldview,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1239966842-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
OMI/Aura Sulfur Dioxide (SO2) Total Column L3 1 day Best Pixel in 0.25 degree x 0.25 degree V3,Health & Air Quality,The OMI Sulfur Dioxide (SO2) Lower Troposphere layer indicates the column density of sulfur dioxide in the lower troposphere (corresponding to 2.5 km center of mass altitude (CMA)) and is measured in Dobson Units (DU). Sulfur Dioxide and Aerosol Index products are used to monitor volcanic clouds and detect pre-eruptive volcanic degassing globally.,The OMI (Aura) Sulfur Dioxide dataset indicates the column density of sulfur dioxide in the lower atmosphere. These products are used to monitor volcanic clouds and detect volcanic degassing globally.,Global,HDF-EOS5,0.25 ° x 0.25 °,30 kilometers,Daily - < Weekly,2004-10-01 ongoing,,https://doi.org/10.5067/Aura/OMI/DATA3008,"Aura - Earth Observing System (EOS), Aura",Daily temporal resolution,Only HDF-EOS5 available,Worldview,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1266136112-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
OMPS-NPP L2 NM Aerosol Index swath orbital,Health & Air Quality,"The OMPS-NPP L2 NM Aerosol Index swath orbital product provides aerosol index values from the Ozone Mapping and Profiling Suite (OMPS) Nadir-Mapper (NM) instrument on the Suomi-NPP satellite. This is now the official NASA aerosol index product, replacing the aerosol index found in the OMPS-NPP L2 NM Total Ozone product. The aerosol index is derived from normalized radiances using 2 wavelength pairs at 340 and 378.5 nm. Additionally, this data product contains measurements of normalized radiances, reflectivity, cloud fraction, reflectivity, and other ancillary variables. Each granule contains data from the daylight portion of each orbit measured for a full day. Spatial coverage is global (-90 to 90 degrees latitude), and there are about 14.5 orbits per day, each has typically 400 swaths. The swath width of the NM is about 2800 km with 36 scenes, or pixels, with a footprint size of 50 km x 50 km at nadir.","The OMPS-NPP L2 NM Aerosol Index swath orbital product provides aerosol index values from the Ozone Mapping and Profiling Suite (OMPS) Nadir-Mapper (NM) instrument on the Suomi-NPP satellite. This is now the official NASA aerosol index product, replacing the aerosol index found in the OMPS-NPP L2 NM Total Ozone product.",Global,HDF5,50 km x 50 km,50 kilometers,Hourly - < Daily,2011-11-07 ongoing,,https://doi.org/10.5067/40L92G8144IV,NPP-JPSS - National Polar Orbiting Partnership-Joint Polar Satellite System,Recent data available,,Worldview,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1564538427-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
OMPS-NPP L2 NM Ozone (O3) Total Column swath orbital,Health & Air Quality,"The OMPS-NPP L2 NM Ozone (O3) Total Column swath orbital product provides total ozone measurements from the Ozone Mapping and Profiler Suite (OMPS) Nadir-Mapper (NM) instrument on the Suomi NPP satellite. The total column ozone amount is derived from normalized radiances using 2 wavelength pairs 317.5 and 331.2 nm under most conditions, and 331.2 and 360 nm for high ozone and high solar zenith angle conditions. Additionally, this data product contains measurements of UV aerosol index and reflectivity at 331 nm. Each granule contains data from the daylight portion of each orbit measured for a full day. Spatial coverage is global (-90 to 90 degrees latitude), and there are about 14.5 orbits per day, each has typically 400 swaths. The swath width of the NM is about 2800 km with 36 scenes, or pixels, with a footprint size of 50 km x 50 km at nadir.",The OMPS (Suomi NPP) Ozone dataset provides total ozone measurements. These data may aid in air quality research.,Global,HDF5,50 km,50 kilometers,1 minute - < 1 hour,2011-11-13 ongoing,NRT,https://dx.doi.org/10.5067/0WF4HAAZ0VHK,NPP-JPSS - National Polar Orbiting Partnership-Joint Polar Satellite System,NRT,,Worldview,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1386443916-GES_DISC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Poverty Mapping Project: Small Area Estimates of Poverty and Inequality,"Climate Change,Human Dimensions","The Poverty Mapping Project: Small Area Estimates of Poverty and Inequality data set consists of consumption-based poverty, inequality and related measures for subnational administrative units in approximately twenty countries throughout Africa, Asia, Europe, North America, and South America. These measures are derived on a country-level basis from a combination of census and survey data using small area estimates techniques. The collection of data have been compiled, integrated and standardized from the original data providers into a unified spatially referenced and globally consistent data set. The data products include shapefiles (vector data), tabular data sets (csv format), and centroids (csv file with latitude and longitude of a geographic unit and associated poverty estimates). Additionally, a data catalog (xls format) containing detailed information and documentation is provided. This data set is produced by the Columbia University Center for International Earth Science Information Network (CIESIN) in collaboration with a number of external data providers.","The Poverty Mapping Project: Small Area Estimates of Poverty and Inequality dataset shows poverty, inequality, and other related data for approximately twenty countries throughout Afirca, Asia, Europe, North America, and South America. These data may be useful in poverty and inequity research.",Global,"CSV, Shapefile",,,,1990-01-01 to 2002-12-31,,https://doi.org/10.7927/H49P2ZKM,PMP - Poverty Mapping Project,Country-level data that has been integrated and standardized into a unified spatially referenced and globally consistent data set,Limited geographic coverage,https://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/maps,Path A,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001946-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Poverty and Food Security Case Studies, v1 (1998 – 2002)",Human Dimensions,"The Poverty Mapping Project: Poverty and Food Security Case Studies data set consists of small area estimates of poverty, inequality, food security and related measures for subnational administrative units in Mexico, Ecuador, Kenya, Malawi, Bangladesh, Sri Lanka, Nigeria and Vietnam. These data come from country level cases studies that examine poverty and food security from a spatial analysis perspective. The data products include shapefiles (vector data) and tabular data sets (csv format). Additionally, a data catalog (xls format) containing detailed information and documentation is provided. This data set is produced by the Columbia University Center for International Earth Science Information Network (CIESIN) and Centro Internacional de Agricultura Tropical (CIAT). The data set was originally produced by CIAT, International Maize and Wheat Improvement Center (CIMMYT), International Livestock Research Institute (ILRI), International Food Policy Research Institute (IFPRI), International Rice Research Institute (IRRI), International Water Management Institute (IWMI), and International Institute for Tropical Agriculture (IITA).","The Poverty Mapping Project: Poverty and Food Security Case Studies dataset consists of small area estimates of poverty, inequality, food security and related measures for Mexico, Ecuador, Kenya, Malawi, Bangladesh, Sri Lanka, Nigeria and Vietnam. These data come from country level cases studies that examine poverty and food security from a spatial analysis perspective.","Mexico, Ecuador, Kenya, Malawi, Bangladesh, Sri Lanka, Nigeria, Vietnam","CSV, Shapefile",,,,1998-01-01 to 2002-12-31,,https://doi.org/10.7927/H4FF3Q9B,PMP - Poverty Mapping Project,Individual case studies that provide a closer look at poverty,Lacks recent data,,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001945-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Reconstructed Global Mean Sea Level 1900-2018,Climate Change,"This dataset contains reconstructed global-mean sea level evolution and the estimated contributing processes over 1900-2018. Reconstructed sea level is based on annual-mean tide-gauge observations and uses the virtual-station method to aggregate the individual observations into a global estimate. The contributing processes consist of thermosteric changes, glacier mass changes, mass changes of the Greenland and Antarctic Ice Sheet, and terrestrial water storage changes. The glacier, ice sheet, and terrestrial water storage are estimated by combining GRACE observations (2003-2018) with long-term estimates from in-situ observations and models. Steric estimates are based on in-situ temperature profiles.","The Reconstructed Global Mean Sea Level from GRACE and In Situ 1900 to 2018 dataset shows the average global sea level change and the processes that caused it over the years 1900-2018. Some of the contributing processes include changes in global temperature, glacier mass changes, ice sheet changes, and changes in water stored on land.",Global,netCDF-4,,,Monthly - < Annual,1900-01-01 to 2018-12-31,,https://dx.doi.org/10.5067/GMSLT-FJPL1,MEaSUREs - Making Earth System Data Records for Use in Research Environments,18-year temporal extent,Lacks recent data,,Path C,Climate Change,Climate Change,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2491724765-POCLOUD&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
SAR (Synthetic Aperture Radar) Hurricane Monitoring for the Gulf and East Coast,"Disasters,Climate Change,Urban Flooding","The Alaska Satellite Facility has developed false color Red, Green, Blue (RGB) and Radiometrically Terrain-Correct (RTC) composites of the Sentinel-1A/B Synthetic Aperture Radar (SAR) instrument which assigns the co- and cross-polarization information to a channel in the composite. When used to support a flooding event, areas in blue denotes water present at the time of the satellite overpass before or after the start of the flooding event.",Visualization of Sentinel-1 Water Maps and other imagery over the Gulf and East Coast for the 2021 hurricane season. Blue shows water extent.,United States,Interactive Visualization,30 meters,30 meters,Weekly - < Monthly,2021-01-01 to 2021-12-31,,https://nasa.maps.arcgis.com/home/webmap/viewer.html?webmap=f33be724f04b4b4c942edd0c9bd18f48,,Visualization of data to show pre and post storm conditions,,ArcGIS Viewer,Path B,Climate Change,Disasters,
"SEDAC Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD), v4.03 (1998 – 2019)",Health & Air Quality,"The Global Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD), 1998-2019, V4.GL.03 consists of annual concentrations (micrograms per cubic meter) of all composition ground-level fine particulate matter (PM2.5). This data set combines AOD retrievals from multiple satellite algorithms including the NASA MODerate resolution Imaging Spectroradiometer Collection 6.1 (MODIS C6.1), Multi-angle Imaging SpectroRadiometer Version 23 (MISRv23), MODIS Multi-Angle Implementation of Atmospheric Correction Collection 6 (MAIAC C6), and the Sea-Viewing Wide Field-of-View Sensor (SeaWiFS) Deep Blue Version 4. The GEOS-Chem chemical transport model is used to relate this total column measure of aerosol to near-surface PM2.5 concentration. Geographically Weighted Regression (GWR) is used with global ground-based measurements from the World Health Organization (WHO) database to predict and adjust for the residual PM2.5 bias per grid cell in the initial satellite-derived values. These estimates are primarily intended to aid in large-scale studies. Gridded data sets are provided at a resolution of 0.01 degrees to allow users to agglomerate data as best meets their particular needs. Data sets are gridded at the finest resolution of the information sources that were incorporated, but do not fully resolve PM2.5 gradients at the gridded resolution due to influence by information sources at coarser resolution. The data are distributed as GeoTIFF files and are in WGS84 projection.","The SEDAC Annual PM2.5 Grids from MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD) dataset provides air quality data for ground-level fine particulate matter that is 2.5 micrometers or smaller (PM2.5) for environmental health research.",Global,"GeoTIFF, PDF, PNG",1.0 degree,111 kilometers,,1998-01-01 to 2019-12-31,,https://doi.org/10.7927/fx80-4n39,SDEI - Satellite-Derived Environmental Indicators,11-year temporal extent,Data only available in GeoTIFF,SEDAC Map widget,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2208962437-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
